title,authors,doi,year,abstract,Normalized Title,Normalized Authors
graph neural networks for building and civil infrastructure operation and maintenance enhancement,Wettewa S.; Hou L.; Zhang G.,10.1016/j.aei.2024.102868,2024,this systematic review  conducted within the prisma framework  investigates the disruptive capabilities of graph neural networks  gnns  in optimising operations and maintenance  om  practices within the building and civil infrastructure domain  addressing 5 research questions and encompassing 111 studies from 2014 to 2024  our study identifies the multifaceted applications of gnns across different project stages from data enhancement to operational scenario enhancement  when considering integrated facilities management  fm  approaches  gnns are employed for data enhancement purposes  leveraging techniques such as semantic enrichment of building information modelling  bim  various data imputation scenarios  and semantic segmentation of point clouds to enhance data quality and completeness  operational scenarios involve the utilisation of gnn algorithms for anomaly detection  fault classification  system optimisation  and forecasting  methodological optimisations crucial for gnn feasibility include feature engineering  architecture optimisation to balance complexity and overfitting risk  and the integration of explainable artificial intelligence  xai  methods to enhance model validity and trust  physical principles integration through physics informed graph neural networks  pignns  further enhances model explainability and validation  future research directions focus on data interoperability enhancement  scalability improvements  and explainability enhancements  automated graph generation and labelling  heterogeneous gnn models  supporting algorithms such as long short term memory  lstm  and reinforcement learning are proposed to overcome analysis limitations  specific workflows targeting building performance based semantic enrichment  building systems data imputation  and interdependency prediction are proposed in future directions  the review highlights the symbiotic relationship between gnn based analysis and digital twin data analysis  emphasising the suitability of gnns in addressing the demands of digital twin data analysis in the building and civil infrastructure domain    2024 the author s ,graph neural networks for building and civil infrastructure operation and maintenance enhancement,ghoulswettewazhang
challenges of integrating artificial intelligence in software project planning  a systematic literature review,Mohammad A.; Chirchir B.,10.3390/digital4030028,2024,artificial intelligence  ai  has helped enhance the management of software development projects through automation  improving efficiency and enabling project professionals to focus on strategic aspects  despite its advantages  applying ai in software development project management still faces several challenges  thus  this study investigates key obstacles to applying artificial intelligence in project management  specifically in the project planning phase  this research systematically reviews the existing literature  the review comprises scientific articles published from 2019 to 2024 and  from the inspected records  17 papers were analyzed in full text form  in this review  10 key barriers were reported and categorized based on the technology organization environment  toe  framework  this review showed that eleven articles reported technological challenges  twelve articles identified organizational challenges  and six articles reported environmental challenges  in addition  this review found that there was relatively little interest in the literature on environmental challenges  compared to organizational and technological barriers    2024 by the authors ,challenges of integrating artificial intelligence in software project planning a systematic literature review,abchirchirmohammad
harnessing artificial intelligence for transformative impact in the ghanaian construction sector,Mustapha Z.; Akomah B.B.; Kwaku O.E.; Nkomo M.W.; Thwala W.D.,10.38094/jastt52209,2024,the integration of artificial intelligence  ai  in the construction industry holds significant promise for enhancing various aspects of project management and execution  ai offers unprecedented opportunities for streamlining processes  enhancing productivity  and elevating safety standards  the study explored ai implementation opportunities and how ai technologies can drive innovation  enhance decision making processes  and propel the sector toward a more efficient and digitised future in the construction industry  to fill the gap  the study adopted a quantitative research approach to offer a holistic assessment of the effects and opportunities for the advancement of ai in ghanaian construction settings  based on the quantitative survey data obtained from 97 participants from 10 construction companies in the central region of ghana and the literature review  the study revealed several benefits of ai implementation  the importance of using ai has been seen in design and planning  safety management  and the quality of delivered projects  regression analysis also expands on the relationships between the identified ai based efficiencies  underlining that increased utilisation can enhance productivity and safety and reduce adverse environmental impacts  further  in the context of ghana  the study outlined areas of importance for constructing ai in the construction industry  construction monitoring  energy efficiency  and supply chain  these findings have depicted the sector s awareness of ai and its value as a tool for improving effectiveness in operations and implementing sustainable measures  overall  the knowledge generated by this study proves beneficial for directing strategic planning and advancing innovation in the context of the ghanaian construction industry  in as much as it acknowledges the gap and the prevailing theoretical literature  it ushers in a guide for availing ai driven growth in the construction sector in terms of productivity  quality  and sustainability in ghana and the global space    2024  interdisciplinary publishing academia  all rights reserved ,harnessing artificial intelligence for transformative impact in the ghanaian construction sector,akomahbbkwakumustaphamwnkomooethwalawdz
supply chain landscape of 3d printed buildings  a stakeholder decision support framework,Ma J.; Samarasinghe D.A.S.; Rotimi J.O.B.; Zuo K.,10.3390/buildings14061811,2024,with the development of new construction technology  increasing attention is being paid to 3d printing due to its construction efficiency as well as its sustainability  numerous researchers have determined its benefits in cost reduction  resource savings  safety assurance  etc  although various advantages have been identified  there are limitations and challenges in technology implementation  especially since it is a new construction method  3d printing construction projects will have a very different supply chain compared to traditional projects  as part of a research programme investigating the 3d printing construction supply chain in a new zealand context  this study systematically analysed the research about 3d printing adoption and supply chain challenges in the construction sector  the preferred reporting items for systematic reviews and meta analyses  prisma  was adopted as the guideline for literature selection  prisma is designed to assist researchers in reporting the review research focus and methodology  and examining the findings from published literature  nvivo was then adopted to code and analyse the selected publications to gather the data necessary for our study  the literature was analysed from the perspectives of the research focus  research methods  and findings  studies about 3d printing implementation  benefits and barriers  as well as its significance are also analysed  as a result  this research found existing research gaps  including the fragmented situation of management related research in the 3d printing construction sector  insufficient research in top management for 3d printing construction implementation  and changes to supply chain management practices in 3d printing construction projects  a decision support system demo for supply chain management is drafted in this paper  which requires further study  the research outcome highlighted the existing studies in 3d printing construction implementation and supply chain  and initiated a research topic on supply chain decision making  the result contributes to the theoretical and practical development of 3d printing technology in the construction industry  this review paper also inspires future studies on supply chain frameworks and theoretical models    2024 by the authors ,supply chain landscape of 3d printed buildings a stakeholder decision support framework,dasjjobkmarotimisamarasinghezuo
empowering future construction professionals by integrating artificial intelligence in construction management education and fostering industry collaboration,Rivera E.J.; Müller C.C.; Rahat R.; ElZomor M.,,2024,integrating artificial intelligence  ai  into construction management education is pivotal for equipping aspiring professionals with the necessary tools and competencies to excel in an ever evolving construction industry  incorporating ai in construction management education empowers students to acquire valuable skills and prepares them to address the challenges and opportunities that ai brings to the construction sector  this  in turn  can lead to more streamlined and sustainable construction practices in the years to come  this study aims to propose curriculum enhancements that equip construction management students with a deep understanding of ai and provide recommendations for academic institutions to collaborate with the industry to maximize hands on involvement  to attain this goal  the research adopts an extensive literature review for future surveys to elaborate on the work in progress of this research  the study s findings underscore a pressing need for construction management programs to introduce dedicated courses or modules centered around ai  these courses should cover various topics  including ai applications in project scheduling  risk assessment  supply chain optimization  and predictive analytics  fundamental ai concepts  such as machine learning  neural networks  natural language processing  and computer vision  should be integrated to demonstrate their relevance to construction management  moreover  students should gain access to ai tools and software for practical application  furthermore  the study recommends stronger collaboration between academia and industry  encouraging construction companies and technology firms to provide students with internships  co op opportunities  or access to real datasets for ai related projects    american society for engineering education  2024 ,empowering future construction professionals by integrating artificial intelligence in constructionmanagement education and fostering industry collaboration,ccejelzomormmllerrrahatrivera
data analytics for project delivery  unlocking the potential of an emerging field,Shen Y.; Brookes N.; Lattuf Flores L.; Brettschneider J.,10.1108/IJMPB-08-2023-0180,2024,purpose  in recent years  there has been a growing interest in the potential of data analytics to enhance project delivery  yet many argue that its application in projects is still lagging behind other disciplines  this paper aims to provide a review of the current use of data analytics in project delivery encompassing both academic research and practice to accelerate current understanding and use this to formulate questions and goals for future research  design methodology approach  we propose to achieve the research aim through the creation of a systematic review of the status of data analytics in project delivery  fusing the methodology of integrative literature review with a recently established practice to include both white and grey literature amounts to an approach tailored to the state of the domain  it serves to delineate a research agenda informed by current developments in both academic research and industrial practice  findings  the literature review reveals a dearth of work in both academic research and practice relating to data analytics in project delivery and characterises this situation as having  more gap than knowledge  some work does exist in the application of machine learning to predicting project delivery though this is restricted to disparate  single context studies that do not reach extendible findings on algorithm selection or key predictive characteristics  grey literature addresses the potential benefits of data analytics in project delivery but in a manner reliant on  thought experiments  and devoid of empirical examples  originality value  based on the review we articulate a research agenda to create knowledge fundamental to the effective use of data analytics in project delivery  this is structured around the functional framework devised by this investigation and highlights both organisational and data analytic challenges  specifically  we express this structure in the form of an  onion skin  model for conceptual structuring of data analytics in projects  we conclude with a discussion about if and how today s project studies research community can respond to the totality of these challenges  this paper provides a blueprint for a bridge connecting data analytics and project management    2024  emerald publishing limited ,data analytics for project delivery unlocking the potential of an emerging field,brettschneiderbrookesfloresjllattufnsheny
problem study and optimization of construction project management based on big data model,Zhang J.,10.1145/3671151.3671223,2024,this paper reviews relevant domestic and foreign research results  and then  on the basis of relevant research foundation and theoretical analysis  sorts out and summarizes the basis  purpose and evaluation mode of performance evaluation of intelligent transportation public projects  and provides a theoretical basis for how to select evaluation subjects and construct an evaluation index system  the performance evaluation index system of intelligent transportation projects was constructed  the principles are studied from both design and practice perspectives for intelligent transportation projects  and the 4e design principles are identified  as well as practice principles such as goal orientation  under the multivariate tower structure model selected  based on the public expenditure process and logical framework theory  etc  and combined with the characteristics of intelligent transportation projects  five major dimensions of indicators are determined to finally construct a complete intelligent transportation project performance evaluation index system    2024 acm ,problem study and optimization of construction project management based on big data model,jzhang
project management approaches and their selection in the digital age  overview  challenges and decision models,Sommer L.,10.5267/j.jpm.2024.1.001,2024,digital transformation is a challenge that also impacts the selection of tools for implementing projects  which tools are suitable for handling complex digital twins  project management must respond to this with suitable approaches  the challenge for decision makers is to choose the right one  based on literature research and a case study  influencing factors are derived and practice relevant project management approaches are collected  furthermore  a decision model is developed that  on the one hand  supports the decision maker in selecting tools before and during the project  and on the other hand makes empirical values from past projects usable for future decisions  the results show that the number of influencing factors is large  and the approaches are di verse  in complex projects  this can lead to complex decision making situations that require appropriate decision models  the developed  supervised decision model   l5  is based on five levels  l   l1  building a database   l2  derivation of algorithms   l3  initial approach selection   l4  review of the initial selection   l5  using experiences for future deci sions  in practice it turns out that complex projects   like digital twins often fail  modified decision models for selecting suitable approaches should therefore take the following as pects into account   a  decision makers are actively supported in the initial decision phase   b  initial decisions once made are checked in the early phase of the project and corrected if necessary   c  the lessons learned are recorded in the database as empirical value and used for future decisions    2024 growing science ltd  all rights reserved ,project management approaches and their selection in the digital age overview challenges and decision models,lsommer
investigating the impact of emerging technologies on construction safety performance,Dobrucali E.; Demirkesen S.; Sadikoglu E.; Zhang C.; Damci A.,10.1108/ECAM-07-2022-0668,2024,purpose  construction safety is heavily affected by using new technologies in this growing trend of technology adoption  especially  safety performance is enhanced through the utilization of some effective technologies such as artificial intelligence  virtual reality  bim and wearable devices  therefore  the main purpose of this study is to investigate the influence of emerging technologies on construction safety performance and quantify the relationship between those  the proposed components of emerging technologies are bim  gis  vr  rfid  ai  ml  eye tracking and serious games and wearable devices  whereas the dimensions of construction safety performance are safety planning  safety training  safety inspection and monitoring  safety audits and reviews and safety leadership  design methodology approach  a structural model was composed consisting of emerging technologies and safety performance indicators  then  a questionnaire was designed and administered to construction professionals  and data from 167 projects were analyzed using structural equation modeling  the data were analyzed by using software  called spss amos  findings  the analysis of the structural model proves that there is a positive and significant relationship between emerging technologies and construction safety performance  moreover  the factor loadings for each factor were found to be high indicating a good representation of the construct by the components developed  among the technologies  bim  robotics and automation  ai and wearable devices were detected to be the most significant technologies in terms of impacting safety performance  originality value  the study contributes to the body of knowledge in that it develops a conceptual framework consisting of specific technologies in terms of emerging technologies  reveals the impact of such technologies on safety performance and proposes several tools and strategies for enabling effective safety management along the project lifecycle  industry practitioners may benefit from the framework developed by adopting such technologies to enhance their safety performance on construction projects    2022  emerald publishing limited ,investigating the impact of emerging technologies on construction safety performance,acdamcidemirkesendobrucalieessadikogluzhang
tailoring of ecss standards for student space projects,Lobo J.G.; Borella L.,10.52202/078378-0138,2024,developing a space project  following the ecss  european cooperation for space standardization  standards is a reliable path to obtaining satisfactory results  however  doing so in the context of student space projects can be daunting and excessively cumbersome  thus  it is usual that when trying to apply ecss to student projects some tailoring is done to adapt the standards to the project  however  there is not a clear answer as to what methodology one should follow when tailoring the standards  this paper proposes a methodology for tailoring the ecss standards for university level student space projects  to achieve this  a thorough study of the standards has been conducted  tailoring the ecss is a common and necessary task carried out in a multitude of projects  by observing some practical cases and applying the knowledge obtained from the literature review  the basis for this methodology has been created  this article presents a breakdown of the proposed methodology  this includes both the rationale guiding these tailoring activities  as well as some of the main conclusions and guidelines distilled from this particular know how  the intent is that it serves as both a tool for both academic supervisors and student teams to better understand the ecss standards and adapt them to their needs  without losing the most relevant aspects of the ecss standards  it provides some insight into how to structure some of the main elements of a space project from a project management and systems engineering point of view  primarily  this paper presents some guidelines for the phase by phase breakdown of projects  for the creation of project reviews  and for the setting of milestones  it will also provide some insight into how to adapt the document collections expected for certain project milestones into more manageable and personalized groupings and documents tailored to the project and its requirements  finally  this paper will present a breakdown of the educational return that can be expected from adhering to certain elements of the ecss standards  this will allow project supervisors to also tailor the standards with respect of the educational return they would like the students to have  the methodology presented will both help increase the success rate of student space projects and ensure that the experience gained by students remains relevant for future interactions they may have with ecss standards in their professional careers  copyright  2024 by the international astronautical federation  iaf  all rights reserved ,tailoring of ecss standards for student space projects,borellajgllobo
data driven decision support for equipment selection and maintenance issues for buildings,Jiang F.; Xie H.; Inti S.; Issa R.R.A.; Vanka V.S.V.; Yu Y.; Huang T.,10.3390/buildings14020436,2024,equipment costs play a critical role in decision making during design and construction  which requires up to date information and data  the design of this study incorporates the inputs from the literature review on the influencing factors of equipment costs and major targeted equipment types to enhance decision support for equipment selection  project construction  and maintenance issues  two traditional cost estimation methods and five machine learning methods were compared in this study to identify significant attributes related to the predictions of the costs and residual values of each targeted equipment type  the novelty of this study is that the developed method improves prediction accuracy by establishing a comprehensive and well structured database framework  a comparison of this method with the existing prediction models reveals that the results and the accuracy of multiple regression analysis are improved in the range of  3  to 33 97  with the use of a modified decision tree model combined with support vector machines  the major contribution of this research is the design  implementation  and validation of a machine learning based modified decision tree with a support vector machine model for improved accuracy and decision support in construction management  future research should consider the relationship between geographical variations and value changes    2024 by the authors ,datadriven decision support for equipment selection and maintenance issues for buildings,fhhuangintiissajiangrrastvankavsvxieyyu
the application of bim iot technology in the background of intelligent construction,Liu X.; Gao T.,10.1007/978-3-031-78276-3_69,2024,against the backdrop of accelerating urbanization  the current urban renewal is in a comprehensive stage  mainly involving residential buildings and municipal utility works  such as the renovation of old districts  the renovation of urban rainwater and sewage diversion  and the renovation of urban roads  urban infrastructure renovation is huge in number and extensive in scope  and safety management and supervision must be a top priority  under the premise of a constantly improving public safety system and safety production responsibility system  it is all the more important to utilize new science and technology to strengthen the safety management and supervision of engineering construction and maintenance  so as to effectively control major safety accidents and improve the level of accident prevention  this requires construction companies to strictly fulfill their main responsibility for safety production  as well as to strengthen regulation and supervision  this paper reviews the latest research progress in the field of intelligent construction  focusing on the trends and application scenarios of combining building information modelling  bim  with advanced technologies such as internet of things  iot  and artificial intelligence  ai  through literature review and case studies  the applications of bim and iot in facility management  hazardous energy management  and infrastructure project monitoring are demonstrated  and their potentials in solving real world problems and driving digital transformation in the industry are pointed out  however  there are still some challenges in the existing research  such as data interoperability  security  and standardization issues  and further cross disciplinary collaborations and empirical studies are needed to promote the comprehensive development and application of smart construction technologies    the author s  under exclusive license to springer nature switzerland ag 2024 ,the application of bimiot technology in the background of intelligent construction,gaoliutx
development of an ili service for heavy wall pipelines based on emat technology,Upadhyaya J.; Garth C.; Kania R.; Schartner A.; Hoeving M.; Moritz T.; Beuker T.; Voss J.,10.1115/IPC2024-133450,2024,electro magnetic acoustic transducer  emat  technology based ili inspections have become vital for maintaining the safety of gas pipelines in order to manage crack threats this technology has evolved over the past decade and has become widely used as with any technology  existing emat services have limitations based on the physics of emat and the approach to the application of the technology in ili services this paper will describe how tc energy and rosen collaborated to develop reliable emat inspection services for heavy wall pipeline applications in addition to the capability of currently available technology this technology development process involved advancements in sensor design and fabrication  incorporation of latest electronic developments to enhance magnetization as well as leveraging machine learning techniques to enable emat inspection of pipelines up to 16 4 mm wall thickness the paper will also describe the technology validation process including proof of concept  lab testing  innovative testing process on sample pipe while applying artificial defects that closely mimic natural ones  performance qualification process in line with applicable codes  pilot testing  and performance validation the full process was executed to conform to typical industry validation requirements and to qualify under operator s extensive technology validation program the paper will also review preliminary results of the first pilot application and approval for broader application in pipelines the paper describes the collaborative efforts of the research and development teams  business line management and key account management at rosen as well as the technology validation  threat management  and project management teams at tc energy the work has culminated in five inspections completed  48  and 36  on the operator s system in canada and the usa  copyright   2024 by asme ,development of an ili service for heavy wall pipelines based on emat technology,abeukercgarthhoevingjjkaniammoritzrschartnerttupadhyayavoss
2024 43rd international conference of the chilean computer science society  sccc 2024,,,2024,the proceedings contain 49 papers  the topics discussed include  a review on predicting bee honey production using machine learning  from 2d to 3d  computational methods for analyzing porous electrode structures in fuel cells  toward automatic vehicle classification for toll booths on chilean interurban highways  convolutional neural networks applied to the diagnosis of cardiovascular disease  high availability in private cloud  approaches and possibilities  impact of the drg system on technical efficiency  a case study of chilean high complexity hospitals  enhancing agile project management education with ai  chatgpt 4 s role in evaluating student contributions  next generation firewall open source and lan performance  and implementation and evaluation of recurrent neural network models for an intelligent university admission chatbot ,2024 43rd international conference of the chilean computer science society sccc 2024,
a review on improving the accuracy of effort estimation in software development with agile method,Moechtar H.R.; Sulistyo S.; Ferdiana R.,10.1109/ICITACEE62763.2024.10761956,2024,this study addresses the critical challenge of effort estimation in agile software development  particularly within the scrum framework  accurate effort estimation is essential for effective project planning  resource allocation  and meeting the high expectations of customers regarding quality  budget  and delivery time  despite the widespread adoption of agile methodologies  accurately predicting the effort required for various tasks remains complex due to the dynamic nature of software projects and the frequent changes in requirements  the research aims to explore and evaluate diverse effort estimation techniques used in agile projects over the past six years  focusing on their effectiveness and the challenges encountered  the study employs a comprehensive literature review framework  incorporating picoc protocols to identify relevant studies  the selected techniques are classified based on their methodology  application context  and reported outcomes  key techniques reviewed include conventional methods  machine learning approaches  and fuzzy logic models  findings indicate that machine learning and ontology based multiagent systems show promise in enhancing estimation accuracy  while pair estimation techniques improve collaborative task estimation and management  the study highlights the importance of integrating appropriate machine learning models  dataset types  and validation procedures to advance effort estimation practices  the paper concludes by identifying research gaps and suggesting opportunities for further improvement in effort estimation methods within agile environments    2024 ieee ,a review on improving the accuracy of effort estimation in software development with agile method,ferdianahrmoechtarrssulistyo
integration of augmented reality with building information modeling  design optimization and construction rework reduction perspective,Bhatarai R.; Banihashemi S.; Shakouri M.; Antwi-Afari M.,10.1007/s11831-024-10211-6,2024,the construction industry is on the brink of a transformative shift with the integration of building information modelling  bim  and augmented reality  ar  to enhance project efficiency and accuracy  this study presents a comprehensive analysis and model that outlines the potential of bim ar integration in optimizing design processes and minimizing reworks in the construction industry  the study applied a systematic literature review methodology to highlight the potential of this integration in revolutionising construction practices  key findings reveal that this integration facilitates a robust digital physical bridge  ensures real time data accessibility  and extends across the project s lifecycle  the model underscores the pivotal role of ar technologies and bim authoring tools in realizing this potential  while also recognizing hardware constraints  software compatibility  and scalability as primary limitations  remarkable challenges such as technology integration  data management  and user adoption are discussed  highlighting the need for industry wide education and a cultural shift towards new technological practices  the study charts a future research trajectory focusing on standardization  affordable solutions  ai advancements  user experience  and sustainability investigations  by enabling superior visualization  communication  and collaboration  the bim ar convergence is set to revolutionize construction practices  driving the industry towards more sustainable  efficient  and error minimized operations  this integration model serves as a roadmap for researchers and practitioners to outline the current state and future directions for bim ar in construction    the author s  under exclusive licence to international center for numerical methods in engineering  cimne  2024 ,integration of augmented reality with building information modeling design optimization and construction rework reduction perspective,antwiafaribanihashemibhataraimmrsshakouri
bibliographic review of ai applied to project management and its analysis in the context of the metalworking industry,Silva J.; Ávila P.; Matias J.; Faria L.; Bastos J.; Ferreira L.; Castro H.,10.1016/j.procir.2024.10.073,2024,competition between companies  especially in the metalworking industry  has driven the continuous search for strategies that aim to reduce costs  improve product quality  and shorten delivery times  however  a persistent challenge that these industries face is delivery delays  caused by a number of complex factors  including supply chain issues  project management difficulties  technical and work issues  to address this issue  several approaches and methodologies have been adopted  on the one hand  agile management tools such as scrum  prince2 agile  lean project management  agile project management and dsdm  dynamic systems development method  have been implemented to increase the flexibility and adaptability of production processes  on the other hand  classic analytical solutions  such as the gantt waterfall method  pmbok guide  spiral model  prince2 and the critical path method  cpm  and or the pert method  have been applied to ensure a clearer and more structured view of projects  in addition to these traditional approaches  the use of artificial intelligence  ai  has emerged as a promising tool in project management  a detailed analysis of articles reveals a marked preference for machine learning  ml  with particular emphasis on artificial neural networks  anns  these ai techniques have been successfully applied in a variety of projects  especially in civil construction  helping to predict and mitigate delays  improve operational efficiency and optimize resource allocation  despite the progress made  research on the use of ai in project management still faces significant challenges  as reflected in the scarcity of available studies on the topic in project management in the metalworking industry    2024 the authors ,bibliographic review of ai applied to project management and its analysis in the context of the metalworking industry,bastoscastrofariaferreirahjjjllmatiaspsilvavila
mapping software engineering industry ai use to software engineering curriculum  developing the ai use framework,Lilholt A.; Heverin T.,,2024,estimates predict a global deficit of 4 million software engineers by 2025  further complicated by the software engineering  se  industry s escalating use of artificial intelligence  ai  to tackle this issue  our research suggests that computer science  cs  curricula in middle and high schools need to be updated to incorporate se industry segments that significantly employ ai  this strategic curriculum alignment is significant for preparing a workforce equipped to meet future industry demands  our initial analysis involved reviewing nine international ai education guidelines to evaluate current methods for integrating ai into se education  the findings indicated a pronounced lack of specific guidance connecting ai applications in the se industry with educational content  to address this  we performed a systematic literature review of 12 research papers focusing on ai s role across the se industry  followed by multiple rounds of inductive content analysis  an industry segment was deemed  essential  if it was referenced in 75  or more of the papers  findings  through this method  we identified 10 essential se industry segments for inclusion in cs education  software development  software maintenance  process improvement  software economics  knowledge management  project management  software testing  software security  quality assurance  and deployment and operations  devops  these findings led to the creation of the ai use  artificial intelligence usage in software engineering  framework  which maps these 10 key segments to the predominant uses of se in the industry as identified in the literature  further inductive content analysis helped us develop subsegments for these essential areas  ongoing framework development involves refining these subsegments and gathering feedback from industry and academic professionals  we anticipate that the fully developed ai use framework will significantly enhance se education  equipping the next generation of software engineers with the ai proficiency required to address the industry s evolving demands    proceedings of the 4th international conference on ai research  icair 2024 ,mapping softwareengineering industry ai use to softwareengineering curriculum developing the aiuse framework,aheverinlilholtt
8th international conference on innovative technologies in intelligent systems and industrial applications  citisia 2023,,,2024,the proceedings contain 38 papers  the special focus in this conference is on innovative technologies in intelligent systems and industrial applications  the topics include  privacy techniques in health data mining  network segmentation and its advancement in containing insider threats  constructing a proactive cyber resilient culture for better business outcomes  the application of zero trust architecture to mitigate password compromise in accessing cloud services  enhancing banking security  a collaborative framework to combat cybercrime and secure financial transactions  host based intrusion detection systems for resource constrained environments  a review  access control for secure remote patient monitoring  advanced persistent threats techniques  detection and defences  edge ai addresses the big data challenges of iot in the cloud edge  analysis of the complexity and risk to the government ehealth system when adopting the cloud services  unified medical data management on the cloud  leveraging blockchain for multi source integration  blockchain and cloud security a review  machine learning powered blockchain in vehicular ad hoc networks  evaluation of the next generation firewall with breach and attack simulation  implementing a usable hybrid project management model for local government  organisational challenges  risks  and success factors when implementing agile methodologies post covid 19  exploring security and data privacy issues in industrial internet of things  iiot a review  agile implementations in cyber security  issues arising and recommendations  using artificial intelligence to defend internet of things for smart city networks  smart home iot devices influence or impact on elderly s life  a review  analysis and detection of iot botnets using machine learning  helmet detection for motorcycle ignition  a computer vision and android based approach ,8th international conference on innovative technologies in intelligent systems and industrial applications citisia 2023,
gitrev  an llm based gamification framework for modern code review activities,Khelifi J.; Chouchen M.; Ouni A.; Wang D.; Kula R.G.; Hamza S.; Mkaouer M.W.,10.1109/SCAM63643.2024.00031,2024,modern code review  mcr  is recognized as an effective software quality assurance practice that is broadly adopted by open source and commercial software projects  mcr is most effective when developers follow best practices  as it improves code quality  enhances knowledge transfer  increases team awareness and shares code ownership  however  prior work highlights that poor code review practices are common and often manifest in the form of low review participation and engagement  shallow review  and toxic communications  to address these issues  we introduce gitrev  a novel approach that applies gamification mechanisms to boost developer motivation and engagement  gitrev is built on top of a large language model  llm  used as a points based reward system that leverages the code change context  and code review activities  we implement gitrev as a github app with a web browser extension that consists of a client side web browser extension that gamifies the github user interface  and a server side composed of a node js server for authentication and data management  to evaluate gitrev  we conduct a controlled experiment with 86 graduate and undergraduate students  results indicate the promising potential of our approach for improving the code review process and developers  engagement  gitrev is publicly available at https anonymous 40pen science r gitrev ob74    2024 ieee ,gitrev an llmbased gamification framework for modern code review activities,achouchendhamzajkhelifikulammkaouermwounirgswang
a brief review of artificial intelligence techniques for conceptual cost estimation in construction projects,Ottaviani F.M.; De Marco A.; Audisio B.; Wong J.; Belack C.,,2024,conceptual cost estimates  evaluated during a construction project s initiation phase  are fundamental for determining whether to invest in the project  validating its budget  or screening alternatives  compared to traditional estimation techniques  artificial intelligence  ai  methods proved effective in assessing the nonlinear relationship between project variables and actual cost at completion  due to the number and variability of available studies  it is not clear which ai techniques are most effective  this study systematically reviews previous works employing ai for conceptual cost estimation  focusing on the techniques adopted and the scorers utilised  the results show a rising trend in ai adoption  including supervised machine learning  knowledge based  and evolutionary techniques  performance wise  the results hint at gradient boosting  random forest  and neural networks proving superior to both genetic algorithms and case based reasoning techniques  which in turn prove superior to linear models  this review provides a brief overview of possible ai techniques and performance scorers to utilise for conceptual cost estimation in construction projects    association of researchers in construction management,a brief review of artificial intelligence techniques for conceptual cost estimation in construction projects,aaudisiobbelackcdefmjmarcoottavianiwong
application of expert systems in civil engineering   primjena ekspertnih sustava u gra evinarstvu ,Grčić E.; Šperac M.,10.14256/JCE.4027.2024,2024,expert systems represent  if then  algorithms that integrate human expert knowledge to solve complex problems  this area of research focuses on finding solutions to challenging situations that are often difficult to resolve using traditional methods  expert systems have widespread applications in the field of construction  the paper presents some of these applications  including their use in building maintenance  inspection of water and sewage systems  geotechnical engineering  road maintenance  and the selection of appropriate construction materials  artificial neural networks are effective in optimizing financial plans  estimating the duration of activities  assessing the productivity of work teams  and selecting contractors  genetic algorithms find their application in resource allocation  selecting optimal solutions for task scheduling and project costs  as well as in building maintenance  while fuzzy logic aids in risk analysis  project management  and cost estimation  expert methods can be integrated into information systems to provide consistent information necessary for the effective management of construction projects  a review of published papers on the application of expert methods in construction shows that these methods are already significantly represented across all sectors of the construction industry  but also indicates that there are still substantial opportunities for their future application    2024  croatian association of civil engineers  all rights reserved ,application of expert systems in civil engineering primjena ekspertnih sustava u graevinarstvu,egrimperac
